Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24,Channel_25,Channel_26,Channel_27,Channel_28,Channel_29,Channel_30
1289797241.645076,4783158427.38075,-3326035787.3365684,-1677452055.3479328,-5793286544.6351795,-352317958.4377272,-9130841.997853534,-1790776185.971468,-1166327614.4823508,-5239443265.183128,2085939864.7107942,-2685486478.5324955,1761639935.0185366,-3387578884.7681723,-3964762182.9355087,49850500.46592844,2968157884.271698,579412558.8906388,1733587796.8132968,7485419025.771953,1588911966.7244062,-6762363766.321547,2019879166.7084181,1653512251.0003502,-6383637616.291276,-4212662542.017615,-959149355.3735759,-16027786644.208324,-4682924755.104905,3523133022.7966104
2642363620.401813,8599112281.721575,-5429812837.816782,-2619379751.0928206,-9707119162.845396,-361367117.52433884,228763082.28767842,-2812974953.1312985,-1738163678.8158894,-8673228149.080872,3876242612.4777617,-4293541376.3385115,3298920797.996302,-5444101250.809529,-6467182381.153909,422476253.7571282,5453858972.188797,1340642169.220949,3326175457.1713862,13352289281.42424,3103001663.486195,-11365103559.513111,3827111453.4620996,3094862368.4553657,-10755526411.565788,-6815359972.206432,-1217851089.9679353,-27246403668.706997,-7687700497.964685,6428753354.483334
2911886320.126796,8101859589.189614,-4398756599.781049,-1950827755.7261853,-8222086218.2881775,14432272.264603158,535389294.06619596,-2119988078.9230466,-1169668051.8959184,-7198173050.560084,3816673142.8690677,-3348207350.912353,3280166969.411479,-4286442443.849603,-5231366293.556115,832366513.8709501,5292075253.318175,1653124935.5984209,3407327758.6887717,12443481213.370358,3245263495.303861,-9674412126.167923,3861265196.142906,3075351762.8418446,-9193039192.35432,-5432210038.647974,-486680989.6503929,-23624943591.23944,-6289248498.489469,6180805745.204422
3541931711.648601,9029087871.669355,-4398742618.45399,-1810949204.4572768,-8514362197.10977,265319127.70128092,821256523.5050341,-1990153181.8368933,-974791111.081646,-7338322933.150722,4369027952.743716,-3242090885.2674556,3776329590.8815875,-4185155882.0994725,-5224903691.599021,1232709425.863985,6005577272.312585,2116122287.3651593,3989481160.1583023,13771845491.285423,3842765351.219453,-10055920416.553541,4482594159.520139,3539331763.9981303,-9584655868.981012,-5359401224.906414,-78445768.97458139,-24892026987.146797,-6339253849.093555,6975101094.534042
3958341609.963816,9136529049.117682,-3816476538.5332127,-1374679852.5371728,-7797840474.873647,582684523.0157303,1114158142.4157937,-1544262894.813787,-571904898.5932044,-6563771064.721821,4566677850.722015,-2663910391.844975,3973488041.2422037,-3488836147.30484,-4524175045.387339,1632027111.824624,6212989359.266936,2486442252.9667835,4279319060.7072134,13815139870.272795,4173612257.751111,-9260751382.501291,4762139451.446095,3722685744.7840734,-8866036688.4285,-4547648696.305346,505457778.3894986,-23377017577.296204,-5570363900.492417,7167678594.5764675
4501737934.54865,9750737725.834307,-3603426602.2114396,-1128171450.599176,-7716610677.355234,854452083.8883355,1398614091.3086348,-1300434010.58395,-303417132.1656685,-6367021767.24377,4981472964.534917,-2386678483.8153696,4353249488.104419,-3171108869.49527,-4263650345.8040934,2026566979.0884433,6731279806.693216,2908988673.73703,4746565747.0897045,14654902555.655807,4665455305.617392,-9206205758.71457,5249752267.444198,4077544024.3087287,-8845681519.90666,-4205321774.9694552,972272722.7201176,-23607854473.45103,-5319950742.5645895,7730628688.107392
4956647619.879868,10033323074.154907,-3158583957.6717796,-764408200.3367022,-7232017233.93901,1151294407.1579564,1684262957.020809,-931456118.980208,46860983.774364516,-5805244140.656536,5251927843.774307,-1922163541.6525784,4611157527.889793,-2617022380.1016006,-3726730613.223967,2418501140.6067595,7044051677.831276,3292004268.7175074,5094224733.965785,14975648015.368204,5047867094.704735,-8681006598.573357,5597807164.901082,4318085335.2337,-8381034598.9908,-3569172319.5863633,1506723540.1110785,-22723782571.901337,-4743221581.565759,8049530376.762644
5459414071.210996,10515442685.328573,-2862988336.0508184,-478096758.57500786,-7002448290.843134,1428302019.3619761,1964876002.7329767,-644836635.2831995,341782264.1676856,-5476135501.515943,5606998504.070416,-1579949615.213028,4940033103.766636,-2216501905.1226177,-3367744947.243204,2806284508.013939,7478408157.294982,3693471780.557728,5510347695.137612,15610843797.714014,5492048472.91446,-8452947258.232739,6026442013.510968,4625329107.114593,-8196316425.901482,-3123130620.421847,1991526030.3594582,-22538002455.51318,-4375757207.415582,8513601269.492331
5926351613.787884,10870634446.668032,-2482238312.5321193,-149419267.86985573,-6622979537.645829,1713178628.3299963,2244372702.999441,-312887344.7466085,665771189.0518156,-5012057954.021617,5906011576.290902,-1169560289.7516088,5221412959.392713,-1729652177.431954,-2907207118.1492286,3190987890.282498,7833349130.450224,4077864931.0528255,5879427262.359921,16048178770.852865,5892863030.098605,-8049829114.994468,6400427033.193803,4888061115.644195,-7846136625.416386,-2569478330.991935,2498955227.6786137,-21935495670.72994,-3888105705.8217764,8883655753.276474
6405716300.236346,11287978768.464958,-2152446254.175982,151972916.38837588,-6328589177.124655,1989704130.0185993,2520325552.0127826,-9825258.507243127,969698023.9195874,-4626416816.987437,6230362686.339369,-801658202.3273861,5523824142.465008,-1295831836.2230275,-2507414239.1331754,3571775152.5889406,8225215853.9719515,4465568406.788693,6268224496.89338,16584438141.527397,6311041962.977384,-7745648463.155592,6797958489.267713,5170614903.603071,-7588919817.792463,-2081132106.5560548,2986827661.0860577,-21563064934.71515,-3471548058.838771,9298165965.249823
6872211973.743516,11668017368.640345,-1801857114.896714,462830096.1473564,-5995473149.919706,2266488729.043294,2794081922.663338,303503324.8983487,1279505711.6607902,-4206743180.0314164,6537274821.211205,-417880069.344939,5811258807.865426,-841553524.2152232,-2082807729.1763296,3949179209.333084,8592847092.406721,4845945844.385974,6641678587.230871,17063477094.808714,6714707370.872315,-7396052905.705008,7177960119.87401,5439184897.232276,-7288525826.224398,-1566917026.4071758,3477478752.3674965,-21080036079.73476,-3025258962.5400043,9684323440.246763
7336172848.768424,12052368005.972246,-1460911723.1497912,767474047.4863714,-5675972481.043548,2539724440.714043,3064892955.8102107,610405356.0647123,1584064627.1261406,-3800663068.5807447,6844554445.915537,-43052286.60686424,6098684790.785132,-398059316.2109072,-1669690541.7393746,4322722895.14489,8961748125.285702,5223221972.25332,7014298444.061899,17550710236.337223,7117008824.305436,-7062045050.3852825,7557471610.175361,5707824646.204847,-7002467775.576003,-1065558310.8638408,3961179197.8841705,-20630150651.882263,-2591982720.462102,10072525180.023932
7795175824.731619,12431448140.091621,-1122663925.798914,1069468142.0347157,-5358118272.945712,2810256975.932209,3332902994.5157285,914675350.8696694,1885893021.6900153,-3397296838.94506,7148088756.549867,328479795.5350125,6382640647.288701,41766830.806866534,-1259781754.7526479,4692474985.869736,9326034155.471003,5596389706.951279,7382715327.856371,18031084426.439358,7514886419.51561,-6729670690.946057,7932546267.316721,5973283971.230425,-6717587642.941999,-568227434.7621114,4440110502.268583,-20180495823.73537,-2161963236.857719,10455763154.089367
8249277333.158371,12805366930.346476,-787136866.1229776,1368811147.4699104,-5041975542.3156,3078104147.5838885,3598135125.1441197,1216309767.555797,2184996494.853824,-2996692171.4170356,7447938354.004886,696705768.7170057,6663179036.5401945,477907660.01280254,-853109501.2901015,5058466578.844418,9685785141.660976,5965490915.55052,7746985958.480571,18504758602.113728,7908397409.312877,-6399008955.973514,8303248290.352649,6235611570.8195095,-6433963301.632992,-74947519.09384431,4914299570.867043,-19731288840.893406,-1735238110.3078997,10834127810.608658
8698536148.328926,13174229421.706491,-454345427.15137774,1665507155.7268376,-4727597260.841743,3343286688.067738,3860614858.1238923,1515310699.7855413,2481385256.56033,-2598884635.9601088,7744163271.434822,1061622982.8958311,6940352451.871829,910355480.8940308,-449691818.5582334,5420732125.695192,10041079683.043858,6330570051.70569,8107167679.147552,18971884564.144463,8297600324.215823,-6070125276.077573,8669642137.105906,6494855870.048179,-6151659979.589841,414269822.5199132,5383779449.320401,-19282717251.24766,-1311833295.3230205,11207707604.231827
9142924819.148642,13538024341.039394,-124315717.59133692,1959534809.647915,-4415014372.373903,3605788664.1220727,4120327115.174841,1811655531.0541613,2775037606.818717,-2203907934.3772845,8036752098.57806,1423204569.9881904,7214148644.724071,1339076198.201841,-49561493.82351358,5779248959.765543,10391904651.37236,6691607447.056849,8463240510.114583,19432449311.316692,8682473694.005547,-5743053199.111227,9031710443.400347,6751005118.006649,-5870708403.054381,899387642.0918678,5848521168.600565,-18834842280.522087,-891783802.8398794,11576489992.00049
9582418836.337046,13896743063.6141,202928828.32834238,2250875331.3475447,-4104255274.4805655,3865596569.4828286,4377259073.898878,2105323900.2784805,3065934095.6732965,-1811792988.8060982,8325695985.687218,1781426321.1687427,7484557492.875261,1764038583.1093874,347251513.4114705,6133997120.1828375,10738249663.036665,7048586141.347925,8815187210.183308,19886442751.38904,9062998943.500145,-5417823358.110599,9389438620.988153,7004049970.807195,-5591136783.539632,1380372059.2414236,6308498756.353303,-18387721745.098503,-475121842.54240406,11940465518.58611
10016993964.66642,14250377199.582739,527365067.32030845,2539510033.474669,-3795348197.754047,4122696945.9333196,4631398008.123132,2396295580.479992,3354055383.534075,-1422570437.5229456,8610986153.695925,2136264308.4752889,7751568910.6757145,2185211761.7918787,740717673.393309,6484956794.164577,11080104462.940348,7401489393.797511,9162990601.828373,20333854813.257874,9439157519.605942,-5094466273.717205,9742812137.925493,7253980996.599495,-5312973298.112053,1857189577.8549855,6763686558.789198,-17941413127.096153,-61879321.083334714,12299624668.959156
10446624218.314661,14598916652.420483,848968236.70976,2825418441.1321664,-3488322993.81291,4377074601.247287,4882729677.765243,2684548888.9869595,3639380643.84061,-1036272466.3962901,8892612023.815138,2487693116.688626,8015171325.035583,2602563316.6985345,1130805961.2220984,6832106393.695368,11417456924.975838,7750298809.390382,9506631594.505325,20774673409.140583,9810928868.893528,-4773014392.260383,10091814542.056711,7500786887.277522,-5036247866.387036,2329805096.8351183,7214057253.168631,-17495975753.248478,347910383.134187,12653955668.211184
10871283147.56776,14942350696.513962,1167713024.7547252,3108579498.71808,-3183209989.9969115,4628713760.676166,5131239373.643049,2970061710.4755588,3921888588.811259,-652931614.1465242,9170562422.9765,2835686993.5563583,8275352724.354889,3016060495.905526,1517484933.7239347,7175423807.41865,11750294311.541546,8094995545.06127,9846090510.58365,21208885913.01426,10178291926.022738,-4453500667.474689,10436428807.00583,7744455724.851832,-4760990868.2082615,2798183223.403584,7659583161.878736,-17051469209.454193,754213705.142398,13003446120.850704
11290946679.55526,15280670606.008738,1483576178.1976485,3388974230.1839256,-2880037454.6113753,4877600594.530796,5376914207.199243,3252813752.7574115,4201559729.3281436,-272578192.2382346,9444828242.595364,3180222371.2530646,8532102849.700658,3425672879.933817,1900725343.510721,7514889128.03523,12078606081.70801,8435562962.442539,10181349912.593727,21636482141.863907,10541228097.165392,-4135955591.810846,10776640166.370626,7984977590.055207,-4487230534.362848,3262291087.0132813,8100239068.819034,-16607950120.112923,1156999483.2732563,13348086267.494839
11705537892.137133,15613778628.86034,1796548234.4782722,3666580435.463729,-2578787926.941482,5123704415.686306,5619720267.529097,3532782345.329438,4478364789.356094,104789151.75559777,9715350911.090282,3521278677.8326397,8785367193.740252,3831375925.2007747,2280513451.0468464,7850452311.252438,12402316288.321014,8771947415.916248,10512341784.18024,22057321330.8552,10899667593.350012,-3820352971.4832187,11112379164.28649,8222301599.79492,-4214939272.540008,3722106939.7573385,8535972600.475182,-16165314767.06581,1556259058.8684762,13687792879.23853
12114958728.901114,15941553939.98376,2106610738.4461854,3941365820.7052464,-2279448434.9444838,5366983746.444326,5859612464.208489,3809934786.602535,4752263622.347233,479162906.06901026,9982055949.391836,3858823924.196902,9035076602.20928,4233131890.043053,2656824550.255746,8182047764.352636,12721329161.01714,9104078772.726992,10838979986.642668,22471230988.0749,11253521408.937805,-3506670273.598568,11443557502.589787,8456363117.89393,-3944091781.2678027,4177594624.0611935,8966712789.39736,-15723453893.48973,1951972890.0948033,14022461161.76377
12518931663.655066,16263741638.525412,2413597857.1143856,4213170402.8187647,-1982155226.8938642,5607286886.7581835,6096438102.726578,4084109664.6694956,5023090389.259246,850354636.8749796,10244754590.852093,4192668443.3854637,9281054665.619713,4630714991.944197,3029455688.62979,8509461621.964012,13035413734.977535,9431739921.887293,11161036553.83961,22877873033.715202,11602546111.980118,-3195043318.3161626,11769943815.628084,8686996446.962584,-3674801000.382548,4628503890.005378,9392194038.260868,-15282497589.058851,2343932747.763604,14351845278.925262
12917798538.755783,16580771204.373762,2717598361.1336937,4482122650.127012,-1686929038.4571135,5844774254.055924,6330369500.813202,4355431683.015452,5290991907.316366,1218421398.1026173,10503724332.306494,4522947303.249254,9523552201.40827,5024275387.168174,3398516355.966402,8832932064.278551,13344920542.179724,9755193934.873446,11478812849.870132,23277844991.164074,11947057104.127752,-2885520933.5668488,12091857115.578812,8914435778.564013,-3407132438.448052,5074992071.302199,9812687881.513344,-14842779181.205116,2732233673.0302877,14676329892.095787
13311541085.310066,16892639626.047108,3018592144.969666,4748206691.540918,-1393796062.0713136,6079435139.465898,6561397061.995066,4623883546.733602,5555951808.871346,1583336210.555539,10758960249.573208,4849640919.940822,9762562693.697699,5413787059.055015,3763981291.1948743,9152443601.554605,13649843986.774096,10074428879.241064,11792296085.873,23671143902.107033,12287040781.730785,-2578131422.1129127,12409287493.926731,9138674609.528639,-3141112733.3131175,5517030991.985576,10228174545.682335,-14404354218.96925,3116848624.728217,14995910710.693163
13700144184.73994,17199346653.951603,3316561927.682274,5011409443.758201,-1102779750.1449535,6311261448.011922,6789513611.295079,4889450377.449327,5817956142.916762,1945075057.8837097,11010460132.873962,5172732548.685287,9998081900.09775,5799227026.738818,4125828227.5997505,9467983662.611444,13950181355.882627,10389435672.701864,12101476392.257187,24057769919.958965,12622486666.318964,-2272899905.426352,12722228017.146116,9359709044.44993,-2876765753.6755056,5954595701.659395,10638637438.565393,-13967274542.846464,3497753574.7122927,15310586757.72022
14083593673.260101,17500892834.14667,3611491314.7774453,5271718558.467479,-813902763.9076474,6540245749.621681,7014712626.159762,5152117977.432653,6076991616.695296,2303614814.2396502,11258222418.958956,5492206311.864138,10230106118.145313,6180573276.887707,4484035943.300472,9779540480.123495,14245930646.359325,10700206017.960182,12406344606.217525,24437723883.021973,12953384975.038937,-1969850672.4741516,13030672464.746887,9577535718.560963,-2614114673.0097156,6387662247.567587,11044060940.343323,-13531590879.6034,3874925410.775647,15620357714.93842
14461873785.43742,17797277111.23708,3903362432.364555,5529120043.66775,-527189249.16417795,6766379008.078403,7236986170.847645,5411870800.793523,6333043555.347224,2658930895.379778,11502243837.919056,5808044953.376718,10458630248.105753,6557802369.505294,4838581878.366558,10087100653.093979,14537088059.643179,11006730048.530378,12706889753.480762,24811004698.64489,13279723993.419876,-1669009802.5908098,13334612805.602657,9792149503.551966,-2353184259.715438,6816205152.261199,11444427892.80589,-13097355677.085798,4248339648.76928,15925221075.613237
14834967600.762594,18088497141.12664,4192156245.0246243,5783598690.034444,-242664436.32141277,6989650985.981338,7456325256.249722,5668692311.538866,6586096262.944036,3010997696.382693,11742519859.76064,6120230270.214688,10683648205.925837,6930889864.406509,5189442451.139841,10390649599.773804,14823648465.367413,11308996765.6241,13003099542.82125,25177609971.05984,13601490708.765821,-1370404603.5427551,13634039731.05987,10003544014.66537,-2094000359.9800675,7240197903.272881,11839720087.9208,-12664622429.802032,4617970963.731294,16225172854.284409
